[2025-11-19 13:44:16] [INFO] Product created | {"product_id":"6","name":"Local Test Hoodie"}
[2025-11-19 13:44:41] [INFO] Product updated | {"product_id":"1"}
[2025-11-19 13:44:54] [INFO] Product deactivated | {"product_id":"1"}
[2025-11-19 14:08:49] [ERROR] Design API Error: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away | {"method":"POST","trace":"#0 C:\\xampp\\htdocs\\Shopify\\backend\\models\\Product.php(69): PDO->prepare('SELECT * FROM p...')\n#1 C:\\xampp\\htdocs\\Shopify\\backend\\api\\uploads-design.php(100): Product->readOne()\n#2 C:\\xampp\\htdocs\\Shopify\\backend\\api\\uploads-design.php(46): handleUpload(Object(Design), Object(Product), Object(PDO))\n#3 {main}"}
[2025-11-19 14:11:07] [INFO] Design uploaded successfully | {"design_id":"1","session_id":"session_691e13e6ab66e_1763578854","product_id":1,"filename":"sample-1.png"}
[2025-11-19 14:13:42] [INFO] Design updated | {"design_id":"1"}
[2025-11-19 14:14:51] [INFO] Design deleted | {"design_id":"1","hard":false}
[2025-11-19 14:15:03] [INFO] Design deleted | {"design_id":"1","hard":true}
[2025-11-19 14:25:18] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:25:18] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:25:20] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:25:20] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:25:20] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:25:20] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:25:47] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:25:47] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:06] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:06] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:33] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:33] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:34] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:34] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:34] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:34] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:34] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:34] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:34] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:34] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:29:44] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:29:44] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:32:52] [INFO] SKIPPING WEBHOOK VERIFICATION FOR TESTING - REMOVE IN PRODUCTION
[2025-11-19 14:32:52] [ERROR] Invalid JSON in webhook: Syntax error
[2025-11-19 14:34:04] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:34:04] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:38:27] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:38:27] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:38:28] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:38:28] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:38:28] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:38:28] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:38:29] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 14:38:29] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 14:44:01] [ERROR] Dev mock order error: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`shopify`.`print_jobs`, CONSTRAINT `print_jobs_ibfk_1` FOREIGN KEY (`order_item_id`) REFERENCES `order_items` (`id`) ON DELETE CASCADE) | {"topic":"orders\/create"}
[2025-11-19 14:46:10] [INFO] Starting order creation | {"shopify_order_id":999888777,"order_number":1001,"line_items_count":1}
[2025-11-19 14:46:10] [INFO] Order inserted successfully | {"db_order_id":"2"}
[2025-11-19 14:46:10] [INFO] Processing line item | {"line_item_id":555444333,"design_id_found":"1","properties":[{"name":"design_id","value":"1"}]}
[2025-11-19 14:46:10] [ERROR] Design not found | {"design_id":"1"}
[2025-11-19 14:46:10] [INFO] Order created successfully | {"shopify_order_id":"999888777","db_order_id":"2"}
[2025-11-19 14:47:33] [INFO] Order updated successfully | {"order_id":"999888777"}
[2025-11-19 14:48:55] [INFO] Order cancelled successfully | {"order_id":"999888777"}
[2025-11-19 14:50:16] [INFO] Starting order creation | {"shopify_order_id":111222333,"order_number":1002,"line_items_count":2}
[2025-11-19 14:50:16] [INFO] Order inserted successfully | {"db_order_id":"3"}
[2025-11-19 14:50:16] [INFO] Processing line item | {"line_item_id":444555666,"design_id_found":"1","properties":[{"name":"design_id","value":"1"}]}
[2025-11-19 14:50:16] [ERROR] Design not found | {"design_id":"1"}
[2025-11-19 14:50:16] [INFO] Processing line item | {"line_item_id":777888999,"design_id_found":"1","properties":[{"name":"design_id","value":"1"}]}
[2025-11-19 14:50:16] [ERROR] Design not found | {"design_id":"1"}
[2025-11-19 14:50:16] [INFO] Order created successfully | {"shopify_order_id":"111222333","db_order_id":"3"}
[2025-11-19 14:52:16] [INFO] Starting order creation | {"shopify_order_id":555666777,"order_number":1003,"line_items_count":1}
[2025-11-19 14:52:16] [INFO] Order inserted successfully | {"db_order_id":"4"}
